Model,OOF Score,Improvement
Hard Voting (Baseline),0.8294051627384961,0.0
Stacking (C=0.1),0.8271604938271605,-0.002244668911335568
Stacking (C=0.5),0.8226711560044894,-0.006734006734006703
Stacking (C=1.0),0.8215488215488216,-0.007856341189674487
Stacking + Passthrough,0.8181818181818182,-0.011223344556677839
