name,age_method,fare_method,embarked_method,lr_mean,lr_std,rf_mean,rf_std,avg_score
Existing_Best,Title+Pclass,Pclass,Mode,0.8024794425961963,0.026120882682281105,0.8293704098926622,0.01717374194922385,0.8159249262444292
Best_Age_Existing,Title+Pclass,Pclass+Embarked,Fare-based,0.8036030381018142,0.02577021657619502,0.8226413909986817,0.016399474215752195,0.8131222145502479
New_Pipeline,Pclass+Sex,Pclass+Embarked,Fare-based,0.7991086560793421,0.022797928881629934,0.8170296905404557,0.015211898301117157,0.8080691733098989
Best_Age_New,Pclass+Sex,Pclass+Embarked,Fare-based,0.7991086560793421,0.022797928881629934,0.8170296905404557,0.015211898301117157,0.8080691733098989
