CV Strategy,Model,CV Score,CV Std,OOF Score,Train Score,Gap,Gap %
StratifiedKFold (現状),RandomForest,0.8294017952419811,0.010467107635895426,0.8294051627384961,0.8383838383838383,0.008982043141857243,1.0829543887395008
StratifiedKFold (現状),GradientBoosting,0.8282656455966355,0.012316826755130177,0.8282828282828283,0.8653198653198653,0.03705421972322975,4.473712017421415
StratifiedKFold (現状),LightGBM,0.822666499278137,0.00585554738797122,0.8226711560044894,0.8406285072951739,0.017962008017036957,2.1833887769585894
StratifiedKFold (現状),HardVoting,0.8293892411022534,0.01004044746048696,0.8294051627384961,0.8406285072951739,0.011239266192920483,1.3551256317219118
StratifiedGroupKFold (改善),RandomForest,0.8190047020687246,0.04170764643932407,0.819304152637486,0.8383838383838383,0.019379136315113787,2.366181325475179
StratifiedGroupKFold (改善),GradientBoosting,0.8232286646639894,0.04530496997348462,0.8237934904601572,0.8653198653198653,0.042091200655875904,5.112941575358765
StratifiedGroupKFold (改善),LightGBM,0.8031878748047265,0.04167729839933868,0.8035914702581369,0.8406285072951739,0.03744063249044738,4.661503698564929
StratifiedGroupKFold (改善),HardVoting,0.8132733323013126,0.04711469808486288,0.813692480359147,0.8406285072951739,0.02735517499386131,3.363589325676597
