Strategy,Model,Mean_Accuracy,Std_Accuracy
Strategy_1_GroupMedian,LogisticRegression,0.80023225158496,0.022563774345969456
Strategy_1_GroupMedian,RandomForest,0.8181658401858014,0.022754812019268274
Strategy_2_KNN,LogisticRegression,0.7991086560793421,0.01710267600253745
Strategy_2_KNN,RandomForest,0.8192768815516918,0.021922143254103493
Strategy_3_Iterative,LogisticRegression,0.7991149331492059,0.023013416054142567
Strategy_3_Iterative,RandomForest,0.8147950536689473,0.01994628213969851
