Model,Features,N_Features,CV_Mean,CV_Std
LogisticRegression,Basic,8,0.8024794425961961,0.02248455362392601
LogisticRegression,With_Family,10,0.8036030381018142,0.02577021657619502
LogisticRegression,With_Bins,10,0.7912434875400164,0.009703619145816543
LogisticRegression,With_Title,12,0.8114556525014123,0.0208218799978696
LogisticRegression,Full,14,0.8148201619484026,0.018056178857788586
RandomForest,Basic,8,0.82712949595129,0.023327976643312834
RandomForest,With_Family,10,0.8226413909986817,0.016399474215752195
RandomForest,With_Bins,10,0.8114493754315486,0.020881487829485384
RandomForest,With_Title,12,0.8316364321134893,0.007387276550894299
RandomForest,Full,14,0.8327537505492437,0.009943310599690327
GradientBoosting,Basic,8,0.832741196409516,0.024118912155220874
GradientBoosting,With_Family,10,0.8349883874207521,0.021087204980652873
GradientBoosting,With_Bins,10,0.8193019898311468,0.013030093363076731
GradientBoosting,With_Title,12,0.832741196409516,0.024118912155220874
GradientBoosting,Full,14,0.832741196409516,0.024118912155220874
